Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
4433.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Mirigama,2024-12-16,No Leasing,USED,Available,Available,Not_Available,Available,33.02984496124031
4434.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kurunegala,2024-12-16,No Leasing,USED,Available,Available,Not_Available,Available,33.02984496124031
4435.0,SUZUKI,ALTO,2013.0,800.0,Manual,Petrol,132000.0,Kandy,2024-12-15,No Leasing,USED,Available,Available,Available,Available,29.5
4436.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kalutara,2024-12-15,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,33.9
4437.0,SUZUKI,ALTO,2016.0,800.0,Manual,Petrol,99000.0,Divulapitiya,2024-12-14,No Leasing,USED,Available,Available,Not_Available,Available,35.0
4438.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kurunegala,2024-12-14,No Leasing,USED,Available,Available,Not_Available,Available,33.25
4439.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Colombo,2024-12-14,Ongoing Lease,USED,Available,Available,Available,Available,32.9
4440.0,SUZUKI,ALTO,2013.0,800.0,Manual,Petrol,132000.0,Hambantota,2024-12-14,No Leasing,USED,Available,Available,Available,Available,29.75
4441.0,SUZUKI,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Kegalle,2024-12-14,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.5
4442.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Anuradapura,2024-12-13,No Leasing,USED,Available,Available,Available,Available,33.02984496124031
4443.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Matugama,2024-12-13,No Leasing,USED,Available,Available,Available,Not_Available,33.25
4444.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Polonnaruwa,2024-12-13,No Leasing,USED,Available,Available,Not_Available,Not_Available,24.0195
4445.0,SUZUKI,ALTO,2016.0,800.0,Manual,Petrol,99000.0,Moratuwa,2024-12-13,No Leasing,USED,Available,Available,Available,Available,33.75
4446.0,,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Negombo,2024-12-13,No Leasing,USED,Available,Available,Not_Available,Not_Available,25.75
4447.0,,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Malabe,2024-12-13,No Leasing,USED,Available,,Not_Available,Available,
4448.0,SUZUKI,ALTO,,800.0,Manual,Petrol,,Matara,2024-12-13,No Leasing,,Available,Available,Not_Available,Available,34.6
4449.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Anuradapura,2024-12-11,No Leasing,USED,,Available,Available,Available,32.8
4450.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Polonnaruwa,2024-12-11,No Leasing,USED,Available,Available,Not_Available,Not_Available,24.0195
4451.0,SUZUKI,ALTO,2014.0,800.0,Manual,Petrol,121000.0,Boralesgamuwa,2024-12-11,No Leasing,,Available,,Available,Not_Available,31.60277777777778
4452.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Colombo,2024-12-11,No Leasing,USED,Available,Available,Not_Available,Available,35.5
4453.0,SUZUKI,ALTO,2014.0,800.0,Manual,Petrol,121000.0,Matugama,2024-12-11,No Leasing,USED,Available,Available,Available,Available,32.0
4454.0,SUZUKI,ALTO,2012.0,800.0,Manual,Petrol,143000.0,Malabe,2024-12-11,No Leasing,USED,Available,Available,Available,Available,25.593749375
4455.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Kelaniya,2024-12-11,No Leasing,USED,Available,Available,Not_Available,Not_Available,24.0195
4456.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Trincomalee,2024-12-10,No Leasing,USED,Available,Available,Available,Available,33.02984496124031
4457.0,SUZUKI,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Colombo,2024-12-10,No Leasing,NEW,Available,Not_Available,Not_Available,Not_Available,25.5
4458.0,SUZUKI,ALTO,2013.0,800.0,Manual,Petrol,132000.0,Galle,2024-12-09,No Leasing,USED,Available,Available,Not_Available,Available,29.75
4459.0,SUZUKI,ALTO,2017.0,800.0,Manual,Petrol,88000.0,Colombo,2024-12-09,No Leasing,USED,Available,Available,Not_Available,Available,36.0
4460.0,SUZUKI,ALTO,2008.0,650.0,Manual,Petrol,187000.0,Ragama,2024-12-09,Ongoing Lease,USED,Available,Available,Available,Available,23.46
4461.0,SUZUKI,,2015.0,800.0,Manual,Petrol,110000.0,,2024-12-09,No Leasing,USED,Available,Available,Not_Available,Available,32.8
4462.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Colombo,2024-12-08,No Leasing,USED,Available,Available,Available,Available,30.0
4463.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Gampaha,2024-12-08,No Leasing,USED,Available,Available,Available,Available,34.5
4464.0,SUZUKI,ALTO,2016.0,800.0,Manual,Petrol,99000.0,Bandarawela,2024-12-08,No Leasing,USED,Available,Not_Available,Not_Available,Available,34.41428571428572
4465.0,,ALTO,2015.0,,Manual,Petrol,110000.0,,2024-12-08,No Leasing,USED,Available,Available,Not_Available,Not_Available,32.5
